,Simple Random,Systematic,Stratified,Cluster,Cross-Validation
Logistic Regression,0.9347826086956522,0.8152173913043478,0.8804347826086957,1.0,0.9219993571198973
Decision Tree,0.9456521739130435,0.8913043478260869,0.9565217391304348,0.9891304347826086,0.9738026358084216
Random Forest,0.9782608695652174,0.9565217391304348,0.9891304347826086,1.0,0.9954162648666024
SVM,0.6413043478260869,0.6304347826086957,0.717391304347826,1.0,0.6749705346619522
KNN,0.6847826086956522,0.6847826086956522,0.6521739130434783,1.0,0.8551783992285438
